年份,政策或事件,层级,地区,核心内容,趋势标签,source_id
2021,中华人民共和国动物防疫法新修订实施,国家法律,中国,禁止随意弃置病死动物，要求无害化处理,无害化底线,S001/S005
2022,上海市人大代表建议答复,地方政府答复,上海,公布累计量、合作医院和处理能力,公共兜底+网络化,S003
2024,上海市养犬管理条例执法案例,地方条例执行,上海,明确乱扔犬尸处罚,处罚强化,S007
2024,苏州无害化处理实施意见,行政规范性文件,苏州,区域中心、跨县转运，犬猫参照执行,区域协同,S010
2024,山东政协提案答复,地方政府答复,山东,70家处理厂、541个暂存点,全域网络,S006
2025,昆山病死宠物服务指南,地方公共服务,昆山,5个免费收集暂存点,便民化,S005
2025,广州宠物无害化处置中心环评,项目环评,广州,专门设施选址、工艺和污染控制,设施专业化,S011
历史,日本环境省动物灵园通达,中央政府通达,日本,定义接收、火化、埋葬、供养业务,业务定义,S013
2010,日本环境省监管讨论,中央政策讨论,日本,讨论经营登记、移动火化和从业知识,主体监管,S012/S014
2003,上海市动物无害化处理中心开展宠物集体火化业务,公共服务,上海,无害化处理,公共服务,https://nyncw.sh.gov.cn/jyta/rddbjy/20220708/14c75399b4234825a5b339457873cb8e.html
2007,上海提供宠物单独火化业务,公共服务,上海,情感服务,公共服务,https://nyncw.sh.gov.cn/jyta/rddbjy/20220708/14c75399b4234825a5b339457873cb8e.html
2019,根据中央生态环保督察组要求停止宠物单独火化业务,监管调整,上海,环保监管,监管调整,https://nyncw.sh.gov.cn/jyta/rddbjy/20220708/14c75399b4234825a5b339457873cb8e.html
2021,新修订动物防疫法要求病死动物无害化处理，不得随意弃置,法律规定,全国,动物防疫/公共卫生,法律规定,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
2021,上海养犬管理条例要求犬只尸体送至指定无害化处理场所，不得自行掩埋或乱扔,地方条例,上海,地方治理,地方条例,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
2022,央视调查发现宠物殡葬尚无明确主管部门、缺统一标准和职业认证,媒体调查,全国,监管空白,媒体调查,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml
2022,上海农业农村委答复动物无害化处理体系和宠物尸体接收能力,人大建议答复,上海,政府答复,人大建议答复,https://nyncw.sh.gov.cn/jyta/rddbjy/20220708/14c75399b4234825a5b339457873cb8e.html
2025,广东省首家获批动物防疫条件合格证、面向家养宠物的动物无害化处理中心在深圳投入运营,合规案例,深圳/广东,合规准入,合规案例,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
2025,新华社报道无证经营、虚假宣传、收费混乱等问题,媒体调查,全国,消费者保护,媒体调查,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html
2026,全国人大代表张义民建议加快立法规范宠物饲养和宠物殡葬服务,两会建议,全国,立法倡议,两会建议,https://m.bjnews.com.cn/detail/1772519733129555.html
2026,宠物无害化处置中心项目环境影响报告表公示，火化污染物源强类比殡仪馆核算,环评公示,广州,环境影响评价,环评公示,https://sthjj.gz.gov.cn/attachment/7/7919/7919888/10216161.pdf
