source_id,机构,日期,标题,类型,地区,覆盖议题,关键数据,url,可信度,备注
S001,新华社,2025-06-12,关注宠物经济丨每年数百万只宠物死亡，“身后事”怎么办？,媒体调查/权威通讯社,中国,市场规模、价格、乱象、机构案例、监管建议,2023年18.25亿元；2025年预计50亿元；2030年预计超100亿元；重庆机构服务500多只，高峰月约80单；部分报价300—3000元,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,高,预测值需注明非官方统计
S002,新华社,2024-03-19,需求明显增长，规模不断扩大——宠物消费市场调查,媒体调查/权威通讯社,中国,宠物数量、企业数量、行业兴起,2023年犬5175万只、猫6980万只；经营范围含宠物殡葬企业4965家，其中4407家成立不足5年,https://www.news.cn/fortune/20240319/112e0d58dbdb467ebfff8e3db140797b/c.html,高,经营范围不等于实际开展业务
S003,上海市农业农村委员会,2022-07-08,对市十五届人大六次会议第0698号代表建议的答复,政府答复,上海,公共处理体系、历史服务数量、机构协作,截至2021年底累计集体火化宠物24万余只、单独火化2万余只；与200余家宠物诊疗机构合作；中心日处理能力60吨,https://nyncw.sh.gov.cn/jyta/rddbjy/20220708/14c75399b4234825a5b339457873cb8e.html,很高,官方服务量核心数据
S004,上海市农业农村委员会,现行页面,上海市动物无害化处理中心,政府机构介绍,上海,设施、人员、处理能力,人员编制40人；本部占地39428.7平方米、建筑面积17568.8平方米、日处理60吨；崇明分部日处理15吨,https://nyncw.sh.gov.cn/zssydw/20180705/0009-6467.html,很高,机构现状页可能更新
S005,昆山市农业农村局,2025-07-01,昆山市病死宠物无害化处理服务指南,政府服务指南,昆山,免费公共服务、收集点、流程,首批5家病死犬猫无害化收集暂存点；面向本市常住居民免费；填写登记表和委托书,https://www.ks.gov.cn/kss/bmdt/202507/ab8ca2cd65dd49f19f44fa29e5c7d1d5.shtml,很高,公共兜底模式
S006,山东省畜牧兽医局,2024-08-22,关于省政协十三届二次会议第13020668号委员提案答复,政府答复,山东,无害化处理网络覆盖,专业无害化处理厂70家、暂存点541个，实现行政区域全覆盖，可为宠物提供服务,https://xm.shandong.gov.cn/art/2024/8/22/art_123031_32728.html?xxgkhide=1,很高,体系主要面向畜禽，宠物可接入
S007,上海市城管执法局,2024-10-28,宠物很可爱，但犬只尸体不能随意丢弃！,执法案例,上海,地方处罚、规范处置,乱扔犬只尸体个人罚20—200元，单位罚5000—50000元,https://cgzf.sh.gov.cn/channel_yasf/20241028/20e02e86ed7b4701abe04afeedf59f8b.html,很高,地方条例执行案例
S008,上海市农业农村委员会,2024-06-17,死亡犬只应该怎样处理？,政府问答,上海,处置规则,犬只死亡应送指定无害化处理场所，不得自行掩埋或乱扔,https://nyncw.sh.gov.cn/bwbdcwl/20240617/6f4d2957b0834691aed7903ad0b8c242.html,很高,政策倡议信息图依据
S009,福州市晋安区政府/检察机关材料,2021-06-21,规范宠物医疗废弃物处置风险提示,政府/检察调查,福州,宠物医院暂存与第三方处理乱象,第三方处理每只400—2000元；存在移动火化、缺乏专门场地、冷藏暂存不规范,https://www.fjjn.gov.cn/ztzl/xyxxztzl/202106/t20210621_1676213.htm,高,地区性调查
S010,苏州市人民政府,2024-07-03,关于加强病死畜禽无害化处理工作的实施意见,行政规范性文件,苏州,区域中心、跨县转运、宠物参照执行,提出区域性处理中心、跨县域收集转运；病死犬猫宠物可参照执行,https://www.suzhou.gov.cn/szsrmzf/szfgfxwjk/202407/1c51c9f0b31b4805a664cfc7f93dbab4/files/8ef617eab357463b9cc2f8347095a290.pdf,很高,已附PDF
