关键词,权重,证据,案例人物,来源,可信度
体面告别,10,从业者因自己的宠物去世后想给宠物一个体面葬礼而入行,橘子,https://news.cctv.com/2022/01/06/ARTIcjVB3o1YrGcLF64nuIcG220106.shtml,A
不愿像垃圾焚烧,9,爱犬去世后被粗糙处理，引发创业动机,李超,https://zqb.cyol.com/html/2022-01/11/nw.D110000zgqnb_20220111_2-05.htm,A
热爱动物,8,经营者强调留下来的从业者是真正爱动物的人,王嘉成/中青报采访,https://zqb.cyol.com/html/2022-01/11/nw.D110000zgqnb_20220111_2-05.htm,A
情感慰藉,8,从业者认为宠物殡葬师的意义在于给宠物主人精神慰藉,王英豪,https://epaper.oeeee.com/epaper/A/html/2026-06/17/content_4910.htm,B
共情能力,7,从业者称职业更像心理疏导师，要求共情性高,俊光,https://zqb.cyol.com/html/2022-01/11/nw.D110000zgqnb_20220111_2-05.htm,A
死亡教育,7,王英豪公开访谈讨论如何面对死亡与分离,王英豪,https://m.bjnews.com.cn/detail/1776825546168623.html,B
情感服务,7,澎湃专访标题即指出“宠物殡葬本质上是情感服务”,王英豪,https://www.thepaper.cn/newsDetail_forward_33011901,B
陪伴回报,6,宠物被视为亲密家人，送别是对陪伴的回应,新华社调查案例,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,A
创业机会,5,企业数量增长和市场扩张吸引创业者入局,企查查/新华社,https://www.news.cn/politics/20250612/9c509c65a8424e318ba83af4c05074a9/c.html,A
生命敬畏,5,业内人士称纪念品和骨灰材料不可掺假，应带着生命敬畏,南都报道,https://epaper.oeeee.com/epaper/A/html/2026-06/17/content_4910.htm,B
